mass_A
t;x;y
0.000000000E0;-2.537213347E-1;2.065713725E-1
4.844444444E-3;-2.524740698E-1;2.060560270E-1
9.000000000E-3;-2.524656259E-1;2.060419533E-1
1.314444444E-2;-2.524669127E-1;2.060433460E-1
1.730000000E-2;-2.524188047E-1;2.059751778E-1
2.147777778E-2;-2.518669153E-1;2.056312712E-1
2.560000000E-2;-2.514060949E-1;2.052652300E-1
2.975555556E-2;-2.503933154E-1;2.051606231E-1
3.392222222E-2;-2.489097337E-1;2.050427806E-1
3.807777778E-2;-2.466638535E-1;2.046439590E-1
4.222222222E-2;-2.435175154E-1;2.044940409E-1
4.636666667E-2;-2.396044383E-1;2.043639049E-1
5.052222222E-2;-2.343595823E-1;2.042021444E-1
5.467777778E-2;-2.281888905E-1;2.042099806E-1
5.883333333E-2;-2.206277651E-1;2.043861791E-1
6.298888889E-2;-2.106906732E-1;2.044671754E-1
6.713333333E-2;-2.005820661E-1;2.047311511E-1
7.130000000E-2;-1.881370648E-1;2.057227967E-1
7.544444444E-2;-1.766991765E-1;2.066404816E-1
7.958888889E-2;-1.623257981E-1;2.076703015E-1
8.375555556E-2;-1.491385195E-1;2.086912366E-1
8.790000000E-2;-1.340409846E-1;2.097779752E-1
9.207777778E-2;-1.188020855E-1;2.107959067E-1
9.621111111E-2;-1.041846485E-1;2.117868872E-1
1.003666667E-1;-8.841366220E-2;2.129709039E-1
1.045111111E-1;-7.467865380E-2;2.140323916E-1
1.086666667E-1;-5.951523673E-2;2.153944463E-1
1.128222222E-1;-4.516235899E-2;2.166288684E-1
1.169666667E-1;-3.093810521E-2;2.177896122E-1
1.211333333E-1;-1.588017016E-2;2.189749291E-1
1.252777778E-1;-2.062084959E-3;2.199760981E-1
1.294222222E-1;1.292313677E-2;2.210801316E-1
1.336111111E-1;2.647942168E-2;2.220655468E-1
1.377333333E-1;4.099905485E-2;2.229333183E-1
1.418888889E-1;5.584321113E-2;2.240185026E-1
1.460555556E-1;6.996510685E-2;2.250686274E-1
1.501888889E-1;8.496701107E-2;2.262578659E-1
1.543555556E-1;9.887040745E-2;2.273996694E-1
1.585000000E-1;1.132120234E-1;2.286791439E-1
1.626555556E-1;1.275236975E-1;2.298721485E-1
1.668222222E-1;1.415020980E-1;2.310155097E-1
1.709555556E-1;1.562312952E-1;2.321790192E-1
1.751111111E-1;1.702692545E-1;2.331656823E-1
1.792777778E-1;1.849539739E-1;2.344330043E-1
1.834111111E-1;1.990211901E-1;2.356113492E-1
1.875666667E-1;2.132850688E-1;2.368213715E-1
1.917222222E-1;2.279325355E-1;2.379745518E-1
1.958777778E-1;2.420955848E-1;2.390846071E-1
2.000333333E-1;2.577350389E-1;2.402815582E-1
2.042111111E-1;2.723389783E-1;2.415619097E-1
2.083333333E-1;2.875348516E-1;2.427826580E-1
2.124888889E-1;3.025926034E-1;2.440543094E-1
2.166444444E-1;3.174455966E-1;2.452677930E-1
2.207888889E-1;3.329856827E-1;2.464802625E-1
2.249555556E-1;3.478720926E-1;2.476487047E-1
2.291111111E-1;3.633211187E-1;2.488625389E-1
2.332555556E-1;3.786751492E-1;2.500489336E-1
2.374000000E-1;3.936930229E-1;2.512661330E-1
2.415666667E-1;4.095562423E-1;2.524051361E-1
2.457111111E-1;4.243656706E-1;2.535736633E-1
2.498666667E-1;4.398740213E-1;2.547136329E-1
2.540333333E-1;4.546849315E-1;2.559936095E-1
2.581666667E-1;4.694149757E-1;2.572136657E-1
2.623333333E-1;4.843349696E-1;2.584422916E-1
2.664888889E-1;4.987031763E-1;2.596302222E-1
2.706222222E-1;5.134701052E-1;2.607892586E-1
2.747777778E-1;5.279846308E-1;2.619513494E-1
2.789333333E-1;5.423331209E-1;2.630755487E-1
2.831000000E-1;5.567478640E-1;2.642884970E-1
2.872444444E-1;5.641062557E-1;2.646630323E-1
2.914000000E-1;5.556185800E-1;2.635553150E-1
2.955444444E-1;5.452774236E-1;2.623554810E-1
2.997111111E-1;5.358709120E-1;2.613133156E-1
3.038555556E-1;5.254210856E-1;2.600824732E-1
3.080111111E-1;5.155626922E-1;2.590616010E-1
3.121666667E-1;5.054402951E-1;2.580038361E-1
3.163111111E-1;4.958130073E-1;2.567732526E-1
3.204666667E-1;4.854151227E-1;2.552254609E-1
3.246222222E-1;4.760007398E-1;2.540105484E-1
3.287777778E-1;4.665076935E-1;2.528614325E-1
3.329222222E-1;4.564916108E-1;2.517166598E-1
3.370777778E-1;4.466569769E-1;2.506935105E-1
3.412222222E-1;4.364758750E-1;2.496155126E-1
3.453888889E-1;4.264289415E-1;2.484907923E-1
3.495444444E-1;4.163509189E-1;2.474426613E-1
3.536888889E-1;4.061943646E-1;2.463045740E-1
3.578444444E-1;3.963327813E-1;2.452041247E-1
3.620000000E-1;3.849482077E-1;2.434510480E-1
